; Symbol=WAG
; Date=09/26/07-09/26/07
Q,070926,093018,46.09,46.75,10,1,THRD,NMS 
Q,070926,093018,46.09,46.74,10,1,THRD,NMS 
Q,070926,093018,46.09,46.74,10,2,THRD,CSE 
Q,070926,093018,46.09,46.74,10,3,THRD,CSE 
Q,070926,093019,46.09,46.73,10,1,THRD,CSE 
Q,070926,093019,46.09,46.73,10,1,THRD,NMS 
Q,070926,093019,46.09,46.72,10,1,THRD,NMS 
Q,070926,093019,46.09,46.72,10,2,THRD,CSE 
Q,070926,093019,46.09,46.71,10,1,THRD,CSE 
Q,070926,093019,46.09,46.7,10,2,THRD,CSE 
Q,070926,093019,46.09,46.69,10,1,THRD,NMS 
Q,070926,093019,46.09,46.68,10,1,THRD,NMS 
Q,070926,093019,46.09,46.68,10,2,THRD,CSE 
Q,070926,093020,46.09,46.68,10,3,THRD,CSE 
Q,070926,093020,46.09,46.67,10,1,THRD,CSE 
Q,070926,093020,46.09,46.67,10,1,THRD,NMS 
Q,070926,093020,46.09,46.66,10,1,THRD,NMS 
Q,070926,093020,46.09,46.66,10,2,THRD,CSE 
Q,070926,093020,46.09,46.65,10,1,THRD,CSE 
Q,070926,093020,46.09,46.64,10,2,THRD,CSE 
Q,070926,093020,46.09,46.63,10,1,THRD,CSE 
Q,070926,093020,46.09,46.62,10,2,THRD,CSE 
Q,070926,093020,46.09,46.62,10,3,THRD,CSE 
Q,070926,093035,46.09,46.53,10,2,THRD,PSE 
Q,070926,093035,46.09,46.52,10,1,THRD,PSE 
Q,070926,093044,46.09,46.57,10,1,THRD,CBOE
Q,070926,093044,46.09,46.6,10,2,THRD,CSE 
Q,070926,093044,46.09,46.6,10,3,THRD,CSE 
Q,070926,093050,46.09,46.52,10,2,THRD,PSE 
Q,070926,093050,46.09,46.51,10,1,THRD,PSE 
Q,070926,093053,46.09,46.56,10,1,THRD,CBOE
Q,070926,093054,46.09,46.6,10,3,THRD,CSE 
Q,070926,093105,46.09,46.54,10,2,THRD,PSE 
Q,070926,093105,46.09,46.53,10,1,THRD,PSE 
Q,070926,093118,46.31,46.53,1,1,NMS ,PSE 
Q,070926,093120,46.09,46.53,10,1,THRD,PSE 
Q,070926,093120,46.09,46.51,10,1,THRD,PSE 
Q,070926,093120,46.09,46.5,10,1,THRD,PSE 
Q,070926,093121,46.26,46.5,1,1,CBOE,PSE 
Q,070926,093121,46.26,46.32,1,1,CBOE,NMS 
Q,070926,093122,46.09,46.32,10,1,THRD,NMS 
Q,070926,093123,46.21,46.32,1,1,CBOE,NMS 
Q,070926,093123,46.21,46.32,1,2,CBOE,NMS 
Q,070926,093123,46.09,46.32,10,2,THRD,NMS 
Q,070926,093123,46.16,46.32,1,2,CBOE,NMS 
Q,070926,093124,46.09,46.32,10,2,THRD,NMS 
Q,070926,093124,46.11,46.32,1,2,CBOE,NMS 
Q,070926,093125,46.09,46.32,10,2,THRD,NMS 
Q,070926,093136,46.09,46.32,10,1,THRD,NMS 
Q,070926,093136,46.09,46.37,10,1,THRD,CBOE
Q,070926,093136,46.11,46.37,2,1,CSE ,CBOE
Q,070926,093136,46.11,46.32,2,1,CSE ,NMS 
Q,070926,093136,46.11,46.32,8,1,CSE ,NMS 
Q,070926,093146,46.12,46.32,1,1,CSE ,NMS 
Q,070926,093146,46.13,46.32,2,1,CSE ,NMS 
Q,070926,093146,46.14,46.32,1,1,CSE ,NMS 
Q,070926,093146,46.56,46.32,48,1,PSE ,NMS 
Q,070926,093146,46.56,46.32,45,1,PSE ,NMS 
Q,070926,093146,46.56,46.37,45,1,PSE ,CBOE
Q,070926,093146,46.58,46.37,16,1,PSE ,CBOE
Q,070926,093146,46.59,46.37,2,1,NMS ,CBOE
Q,070926,093146,46.61,46.37,2,1,NMS ,CBOE
Q,070926,093146,46.62,46.37,1,1,NMS ,CBOE
Q,070926,093146,46.63,46.37,1,1,NMS ,CBOE
Q,070926,093146,46.65,46.37,2,1,NMS ,CBOE
Q,070926,093146,46.66,46.37,1,1,PSE ,CBOE
Q,070926,093146,46.67,46.37,1,1,NMS ,CBOE
Q,070926,093146,46.68,46.37,1,1,NMS ,CBOE
Q,070926,093146,46.69,46.37,1,1,NMS ,CBOE
Q,070926,093146,46.69,46.37,2,1,NMS ,CBOE
Q,070926,093146,46.72,46.37,1,1,PSE ,CBOE
Q,070926,093146,46.72,46.37,1,1,NMS ,CBOE
Q,070926,093146,46.73,46.37,1,1,NMS ,CBOE
Q,070926,093146,46.72,46.37,1,1,PSE ,CBOE
Q,070926,093146,46.71,46.37,1,1,PSE ,CBOE
Q,070926,093146,46.63,46.37,2,1,PSE ,CBOE
Q,070926,093146,46.74,46.37,1,1,PSE ,CBOE
Q,070926,093146,46.75,46.37,1,1,NMS ,CBOE
Q,070926,093146,46.74,46.37,1,1,PSE ,CBOE
Q,070926,093146,46.77,46.37,15,1,NYSE,CBOE
Q,070926,093146,46.77,46.37,14,1,NYSE,CBOE
Q,070926,093146,46.74,46.37,1,1,PSE ,CBOE
Q,070926,093146,46.74,46.37,1,1,NMS ,CBOE
Q,070926,093146,46.73,46.37,1,1,NMS ,CBOE
Q,070926,093146,46.72,46.37,1,1,NMS ,CBOE
Q,070926,093146,46.66,46.37,1,1,NMS ,CBOE
Q,070926,093146,46.67,46.37,1,1,NMS ,CBOE
Q,070926,093146,46.67,46.67,1,41,NMS ,NYSE
Q,070926,093146,46.67,46.37,1,1,NMS ,CBOE
Q,070926,093146,46.66,46.37,1,1,NMS ,CBOE
Q,070926,093146,46.66,46.62,1,1,NMS ,CBOE
Q,070926,093146,46.6,46.62,8,1,NYSE,CBOE
T,070926,093146,46.48,400,THRD
T,070926,093146,46.48,200,THRD
Q,070926,093146,46.69,46.62,1,1,NYSE,CBOE
Q,070926,093146,46.69,46.7,1,6,NYSE,NYSE
Q,070926,093146,46.69,46.75,1,8,NYSE,NYSE
Q,070926,093146,46.69,46.85,1,10,NYSE,NYSE
Q,070926,093146,46.69,46.85,1,2,NYSE,NYSE
Q,070926,093146,46.79,46.85,2,2,NYSE,NYSE
Q,070926,093147,46.79,46.89,2,31,NYSE,NYSE
Q,070926,093147,46.79,46.88,2,3,NYSE,NYSE
Q,070926,093147,46.79,46.89,2,31,NYSE,NYSE
Q,070926,093147,46.79,46.89,1,31,NYSE,NYSE
T,070926,093147,46.32,100,NMS 
T,070926,093147,46.52,100,NMS 
T,070926,093147,46.53,100,NMS 
T,070926,093147,46.52,200,THRD
T,070926,093147,46.79,94500,NYSE
