App,Date,Time,CPU
(null),2009-05-27,20:53:08,0.00MHz
Function,Invocations,Total,Execution,T/I,E/I
TradeLibFast::TLServer_WM::SrvGotTick,1001,     0.001,     0.001,     0.000,     0.000
Total,1001,     0.001,     0.001
